10-25-04:22:22.922;miner9;Announced block                         ;9327;28aa3a…52903b
10-25-04:22:22.923;miner9;Announced block                         ;9327;28aa3a…52903b
10-25-04:22:22.923;miner9;Queued propagated block                 ;9327;28aa3a…52903b
10-25-04:22:22.923;miner9;Announced block                         ;9327;28aa3a…52903b
10-25-04:22:22.923;miner9;Announced block                         ;9327;28aa3a…52903b
10-25-04:22:22.923;miner9;Announced block                         ;9327;28aa3a…52903b
10-25-04:22:22.924;miner9;Announced block                         ;9327;28aa3a…52903b
10-25-04:22:33.852;miner9;Queued propagated block                 ;9328;38119b…5770a3
10-25-04:22:33.852;miner9;Importing propagated block              ;9328;38119b…5770a3
10-25-04:22:33.859;miner9;Propagated block                        ;-1;38119b…5770a3
10-25-04:22:33.859;miner9;Propagated block                        ;9328;38119b…5770a3
10-25-04:22:33.861;miner9;Propagated block                        ;9328;38119b…5770a3
10-25-04:22:33.871;miner9;Announced block                         ;-1;38119b…5770a3
10-25-04:22:33.872;miner9;Announced block                         ;9328;38119b…5770a3
10-25-04:22:33.872;miner9;Announced block                         ;9328;38119b…5770a3
10-25-04:22:33.872;miner9;Queued propagated block                 ;9328;38119b…5770a3
10-25-04:22:53.546;miner9;Queued propagated block                 ;9329;f235e3…22fa84
10-25-04:22:53.547;miner9;Importing propagated block              ;9329;f235e3…22fa84
10-25-04:22:53.551;miner9;Propagated block                        ;-1;f235e3…22fa84
10-25-04:22:53.551;miner9;Propagated block                        ;9329;f235e3…22fa84
10-25-04:22:53.552;miner9;Propagated block                        ;9329;f235e3…22fa84
10-25-04:22:53.552;miner9;Propagated block                        ;9329;f235e3…22fa84
10-25-04:22:53.560;miner9;Announced block                         ;9329;f235e3…22fa84
10-25-04:22:53.560;miner9;Announced block                         ;9329;f235e3…22fa84
10-25-04:22:53.560;miner9;Announced block                         ;9329;f235e3…22fa84
10-25-04:22:53.560;miner9;Announced block                         ;9329;f235e3…22fa84
10-25-04:22:53.560;miner9;Announced block                         ;9329;f235e3…22fa84
10-25-04:22:53.560;miner9;Announced block                         ;9329;f235e3…22fa84
10-25-04:22:53.560;miner9;Announced block                         ;-1;f235e3…22fa84
10-25-04:22:53.560;miner9;Announced block                         ;9329;f235e3…22fa84
10-25-04:22:53.560;miner9;Announced block                         ;9329;f235e3…22fa84
10-25-04:23:12.473;miner9;Queued propagated block                 ;9330;04b7f4…3cc275
10-25-04:23:12.473;miner9;Importing propagated block              ;9330;04b7f4…3cc275
10-25-04:23:12.477;miner9;Propagated block                        ;-1;04b7f4…3cc275
10-25-04:23:12.477;miner9;Propagated block                        ;9330;04b7f4…3cc275
10-25-04:23:12.477;miner9;Propagated block                        ;9330;04b7f4…3cc275
10-25-04:23:12.477;miner9;Propagated block                        ;9330;04b7f4…3cc275
10-25-04:23:12.482;miner9;Announced block                         ;-1;04b7f4…3cc275
10-25-04:23:12.482;miner9;Announced block                         ;9330;04b7f4…3cc275
10-25-04:23:12.507;miner9;Announced block                         ;9330;04b7f4…3cc275
