MTime;Miner;Message;BlockNr;Hash
11-08-09:59:19.837;miner4;🔨 mined potential block                 ;46719;2108f3…d65168
11-08-09:59:55.805;miner4;🔨 mined potential block                 ;46720;ec9f6b…9b368b
11-08-10:00:23.921;miner4;🔨 mined potential block                 ;46721;6484df…fc8028
11-08-10:01:44.850;miner3;🔨 mined potential block                 ;46722;642b82…793b89
11-08-10:01:48.087;miner4;🔨 mined potential block                 ;46723;e3f85e…7fe089
11-08-10:01:53.869;miner3;🔨 mined potential block                 ;46724;8836b6…75c802
11-08-10:01:57.878;miner3;🔨 mined potential block                 ;46725;1ec742…d6a292
11-08-10:02:10.684;miner3;🔨 mined potential block                 ;46726;8ff960…a98dc1
11-08-10:02:24.986;miner4;🔨 mined potential block                 ;46727;1ee570…ad30da
11-08-10:03:03.313;miner4;🔨 mined potential block                 ;46728;a8e8e8…8be404
11-08-10:03:52.348;miner4;🔨 mined potential block                 ;46729;7b2fd4…9373eb
11-08-10:04:28.746;miner3;🔨 mined potential block                 ;46730;b5d736…5cac0d
11-08-10:05:45.571;miner4;🔨 mined potential block                 ;46731;8b150d…86aadd
11-08-10:05:53.826;miner3;🔨 mined potential block                 ;46732;c44d59…509df7
11-08-10:05:56.984;miner4;🔨 mined potential block                 ;46733;86599e…3b6ed3
11-08-10:06:35.553;miner3;🔨 mined potential block                 ;46734;bce7cd…ce9edf
11-08-10:06:53.600;miner3;🔨 mined potential block                 ;46735;ce62eb…2b73c7
11-08-10:07:14.369;miner4;🔨 mined potential block                 ;46736;eb98ad…0247c2
11-08-10:07:48.997;miner3;🔨 mined potential block                 ;46737;b79406…420443
11-08-10:07:59.076;miner3;🔨 mined potential block                 ;46738;98626b…d82604
11-08-10:08:12.055;miner3;🔨 mined potential block                 ;46739;0e6e7e…caa3f3
11-08-10:08:31.004;miner3;🔨 mined potential block                 ;46740;273861…61da12
11-08-10:08:33.894;miner4;🔨 mined potential block                 ;46741;e04439…37bc82
11-08-10:08:50.799;miner4;🔨 mined potential block                 ;46742;d126b7…1e5192
11-08-10:09:03.887;miner3;🔨 mined potential block                 ;46743;199169…020498
11-08-10:09:10.712;miner3;🔨 mined potential block                 ;46744;ae4fac…f2058d
11-08-10:09:23.755;miner3;🔨 mined potential block                 ;46745;c96a60…a5341f
11-08-10:09:50.780;miner3;🔨 mined potential block                 ;46746;71fa9a…d12c0d
11-08-10:09:55.748;miner4;🔨 mined potential block                 ;46747;111814…d99ced
11-08-10:10:36.275;miner4;🔨 mined potential block                 ;46748;47e135…60657d
11-08-10:12:18.267;miner3;🔨 mined potential block                 ;46749;40bfd4…5b0deb
11-08-10:12:34.474;miner4;🔨 mined potential block                 ;46750;ed9a56…b9d79b
11-08-10:12:39.621;miner3;🔨 mined potential block                 ;46751;dc32fd…ccf090
11-08-10:13:11.601;miner3;🔨 mined potential block                 ;46752;6be919…b873a4
11-08-10:13:53.255;miner4;🔨 mined potential block                 ;46753;66dea3…c7e731
11-08-10:14:23.242;miner4;🔨 mined potential block                 ;46754;1461a5…ea273b
11-08-10:14:23.587;miner4;🔨 mined potential block                 ;46755;ea1c20…20bd08
11-08-10:14:28.873;miner4;🔨 mined potential block                 ;46756;83fe61…949bcc
11-08-10:15:48.406;miner3;🔨 mined potential block                 ;46757;d28f24…7fc1ec
11-08-10:15:49.079;miner4;🔨 mined potential block                 ;46757;779822…c4b08a
11-08-10:15:56.494;miner3;🔨 mined potential block                 ;46758;6d1c2b…69f48e
11-08-10:15:56.941;miner4;🔨 mined potential block                 ;46759;8a0985…d2b256
11-08-10:16:24.837;miner3;🔨 mined potential block                 ;46760;339869…5f1ef4
11-08-10:16:32.805;miner4;🔨 mined potential block                 ;46761;7c2bf3…d414e2
11-08-10:17:13.930;miner3;🔨 mined potential block                 ;46762;b52596…127dd9
11-08-10:17:27.373;miner3;🔨 mined potential block                 ;46763;3ad586…731d4d
11-08-10:18:03.545;miner4;🔨 mined potential block                 ;46764;6b2a82…00f757
11-08-10:18:20.106;miner3;🔨 mined potential block                 ;46765;d3f4fb…af4ce6
11-08-10:19:10.456;miner3;🔨 mined potential block                 ;46766;b5b047…7649a0
11-08-10:19:11.406;miner3;🔨 mined potential block                 ;46767;4d453f…d1bafc
11-08-10:19:27.226;miner4;🔨 mined potential block                 ;46768;455941…18d6cf
11-08-10:19:35.147;miner4;🔨 mined potential block                 ;46769;4ed395…06c3be
11-08-10:20:20.742;miner4;🔨 mined potential block                 ;46770;0d1eaa…98abf7
11-08-10:20:37.922;miner4;🔨 mined potential block                 ;46771;9eb601…7d2b9a
11-08-10:21:08.415;miner4;🔨 mined potential block                 ;46772;47d77b…1a9f30
11-08-10:21:37.441;miner4;🔨 mined potential block                 ;46773;1a6824…49547f
11-08-10:22:15.286;miner3;🔨 mined potential block                 ;46774;9b286b…f59ca4
11-08-10:22:23.230;miner4;🔨 mined potential block                 ;46775;068d59…ae3d5c
11-08-10:22:28.118;miner3;🔨 mined potential block                 ;46776;c132d6…d2c7d0
11-08-10:22:35.226;miner3;🔨 mined potential block                 ;46777;193dcb…3c18d4
11-08-10:22:51.357;miner4;🔨 mined potential block                 ;46778;361c70…16469c
11-08-10:22:53.178;miner4;🔨 mined potential block                 ;46779;f24ece…a30e61
11-08-10:22:54.434;miner4;🔨 mined potential block                 ;46780;212217…255a65
11-08-10:23:28.077;miner3;🔨 mined potential block                 ;46781;d63cf4…78d5f1
11-08-10:24:10.003;miner3;🔨 mined potential block                 ;46782;42eb88…c7e7fe
11-08-10:24:56.965;miner3;🔨 mined potential block                 ;46783;5a06c2…573f2c
11-08-10:25:07.168;miner3;🔨 mined potential block                 ;46784;ad8bb1…85929c
11-08-10:25:14.767;miner4;🔨 mined potential block                 ;46785;d3e6e9…b9d599
11-08-10:25:42.607;miner4;🔨 mined potential block                 ;46786;3edbcb…9ccbff
11-08-10:26:41.942;miner3;🔨 mined potential block                 ;46787;1c68da…7f45cc
11-08-10:27:14.631;miner3;🔨 mined potential block                 ;46788;c719d8…c74aa7
11-08-10:27:18.276;miner3;🔨 mined potential block                 ;46789;39cb48…dfb5ec
11-08-10:27:29.134;miner3;🔨 mined potential block                 ;46790;908563…d7e3d8
11-08-10:28:15.978;miner4;🔨 mined potential block                 ;46791;c1cbcb…661fe5
11-08-10:28:38.210;miner3;🔨 mined potential block                 ;46792;e738d3…c42be6
11-08-10:28:49.637;miner4;🔨 mined potential block                 ;46793;19b8d9…2ec1a3
11-08-10:29:02.039;miner4;🔨 mined potential block                 ;46794;b68979…169047
11-08-10:29:05.073;miner3;🔨 mined potential block                 ;46795;07c94d…f88a66
11-08-10:29:23.364;miner4;🔨 mined potential block                 ;46796;4298ea…a97d39
11-08-10:29:30.916;miner3;🔨 mined potential block                 ;46797;c448f3…a9a793
11-08-10:30:27.908;miner3;🔨 mined potential block                 ;46798;219a8d…9d2faf
11-08-10:30:41.276;miner3;🔨 mined potential block                 ;46799;5ec743…6ff3f1
11-08-10:30:41.866;miner4;🔨 mined potential block                 ;46800;728446…4f41fa
11-08-10:30:52.144;miner3;🔨 mined potential block                 ;46801;ef9cde…821a54
11-08-10:31:09.545;miner3;🔨 mined potential block                 ;46802;157891…384e30
11-08-10:31:13.316;miner4;🔨 mined potential block                 ;46803;825d34…c05dcc
11-08-10:31:32.800;miner3;🔨 mined potential block                 ;46804;74640b…01e5de
11-08-10:31:37.324;miner4;🔨 mined potential block                 ;46805;36a161…acb541
11-08-10:32:03.656;miner4;🔨 mined potential block                 ;46806;da6f84…6de6d3
11-08-10:32:11.768;miner4;🔨 mined potential block                 ;46807;cfce00…2897dd
11-08-10:32:28.065;miner3;🔨 mined potential block                 ;46808;bd547e…d361a7
11-08-10:34:21.257;miner4;🔨 mined potential block                 ;46809;f3ba8c…1ad8d5
11-08-10:34:25.286;miner3;🔨 mined potential block                 ;46810;ed2e94…6f6769
11-08-10:34:28.394;miner4;🔨 mined potential block                 ;46811;032ff6…1e6f30
11-08-10:34:33.155;miner4;🔨 mined potential block                 ;46812;d5a0be…86aa1a
11-08-10:35:21.060;miner3;🔨 mined potential block                 ;46813;198ec0…da0a6c
11-08-10:35:39.852;miner4;🔨 mined potential block                 ;46814;968b75…d6ce0a
11-08-10:36:02.865;miner3;🔨 mined potential block                 ;46815;409e34…96a79f
11-08-10:36:22.788;miner3;🔨 mined potential block                 ;46816;b77852…ab53c4
11-08-10:36:49.999;miner4;🔨 mined potential block                 ;46817;f67a58…0ccbdd
11-08-10:37:44.689;miner3;🔨 mined potential block                 ;46818;b14d62…b829aa
11-08-10:37:48.752;miner3;🔨 mined potential block                 ;46819;163d8c…a5f365
11-08-10:38:06.846;miner3;🔨 mined potential block                 ;46820;3e01bc…c4592a
11-08-10:38:18.930;miner4;🔨 mined potential block                 ;46821;9e3e9f…339303
11-08-10:39:00.442;miner4;🔨 mined potential block                 ;46822;249735…f77925
11-08-10:39:12.754;miner3;🔨 mined potential block                 ;46823;51bb3b…ba1f5a
11-08-10:39:16.847;miner3;🔨 mined potential block                 ;46824;1ac5a0…1d8480
11-08-10:39:32.326;miner3;🔨 mined potential block                 ;46825;46c378…ac7954
11-08-10:39:55.579;miner4;🔨 mined potential block                 ;46826;d5699d…32731f
11-08-10:40:33.317;miner3;🔨 mined potential block                 ;46827;dc607b…008e41
11-08-10:40:42.566;miner4;🔨 mined potential block                 ;46828;2ab2b0…ed0176
11-08-10:40:43.916;miner4;🔨 mined potential block                 ;46829;2c931c…10e02e
11-08-10:40:51.246;miner4;🔨 mined potential block                 ;46830;df3896…cd8624
11-08-10:41:12.035;miner3;🔨 mined potential block                 ;46831;299d26…c889f9
11-08-10:41:19.777;miner4;🔨 mined potential block                 ;46832;012390…cf62cb
11-08-10:41:34.198;miner3;🔨 mined potential block                 ;46833;97d775…78153f
11-08-10:41:43.168;miner4;🔨 mined potential block                 ;46834;158493…cb53e9
11-08-10:41:52.423;miner4;🔨 mined potential block                 ;46835;ea3d76…4f13f4
11-08-10:42:04.921;miner4;🔨 mined potential block                 ;46836;b689c4…c3bace
11-08-10:42:29.352;miner3;🔨 mined potential block                 ;46837;f07137…df13ef
11-08-10:43:16.455;miner3;🔨 mined potential block                 ;46838;2d16f4…a69fa7
11-08-10:43:53.423;miner4;🔨 mined potential block                 ;46839;3d743c…55c325
11-08-10:45:08.388;miner4;🔨 mined potential block                 ;46840;598b1a…999ef2
11-08-10:45:09.206;miner3;🔨 mined potential block                 ;46841;a766b3…5757ba
11-08-10:45:39.735;miner4;🔨 mined potential block                 ;46842;dc74e1…5733d3
11-08-10:45:46.554;miner3;🔨 mined potential block                 ;46843;99a2f8…5bc13a
11-08-10:45:50.962;miner4;🔨 mined potential block                 ;46844;40e807…4cbd0c
11-08-10:46:19.040;miner4;🔨 mined potential block                 ;46845;89543b…0af11d
11-08-10:46:20.263;miner3;🔨 mined potential block                 ;46846;73e7c3…97042a
11-08-10:46:27.427;miner3;🔨 mined potential block                 ;46847;0371ec…42eb57
11-08-10:47:14.707;miner4;🔨 mined potential block                 ;46848;656dbd…143f8a
11-08-10:47:18.763;miner4;🔨 mined potential block                 ;46849;c7f6c4…5d02d7
11-08-10:48:27.644;miner3;🔨 mined potential block                 ;46850;4f12ac…63406a
11-08-10:48:28.418;miner3;🔨 mined potential block                 ;46851;8451fb…0bf30d
11-08-10:49:15.788;miner3;🔨 mined potential block                 ;46852;52cda1…007067
11-08-10:50:41.794;miner4;🔨 mined potential block                 ;46853;2db0f8…a3b013
11-08-10:50:55.648;miner3;🔨 mined potential block                 ;46854;2f1a87…ad4375
11-08-10:51:09.221;miner3;🔨 mined potential block                 ;46855;16fa7c…07cb19
11-08-10:51:28.198;miner3;🔨 mined potential block                 ;46856;abc4ba…3d92a0
11-08-10:51:49.093;miner4;🔨 mined potential block                 ;46857;06413e…c86cae
11-08-10:51:51.724;miner4;🔨 mined potential block                 ;46858;eaac79…cfa2b1
11-08-10:52:59.557;miner3;🔨 mined potential block                 ;46859;9c1644…0412e0
11-08-10:52:59.981;miner3;🔨 mined potential block                 ;46860;05d028…8004dc
11-08-10:53:06.255;miner4;🔨 mined potential block                 ;46861;f5761a…fc884e
11-08-10:53:14.733;miner3;🔨 mined potential block                 ;46862;2a2a43…fbcefa
11-08-10:53:35.533;miner3;🔨 mined potential block                 ;46863;1d42dd…b9f190
