MTime;Miner;Message;BlockNr;Hash
11-07-10:07:47.719;miner4;🔨 mined potential block                 ;39733;552cfa…bda62f
11-07-10:07:49.240;miner1;🔨 mined potential block                 ;39734;2626bb…de6dc1
11-07-10:07:52.672;miner4;🔨 mined potential block                 ;39735;2b7d19…86618d
11-07-10:07:54.068;miner2;🔨 mined potential block                 ;39736;d7482f…cf1239
11-07-10:08:01.755;miner3;🔨 mined potential block                 ;39737;ddd998…5d6e0e
11-07-10:08:02.870;miner2;🔨 mined potential block                 ;39738;052189…f8ecd4
11-07-10:08:04.477;miner1;🔨 mined potential block                 ;39739;49f294…6ade50
11-07-10:08:11.179;miner1;🔨 mined potential block                 ;39740;e64fb7…161a0f
11-07-10:08:22.265;miner4;🔨 mined potential block                 ;39741;cca519…20cad0
11-07-10:08:25.605;miner1;🔨 mined potential block                 ;39742;b84065…2ba0c6
11-07-10:08:29.011;miner1;🔨 mined potential block                 ;39743;85888c…77731e
11-07-10:08:40.056;miner3;🔨 mined potential block                 ;39744;a69d7c…5404f5
11-07-10:08:40.590;miner3;🔨 mined potential block                 ;39745;67a573…2116cb
11-07-10:08:51.251;miner1;🔨 mined potential block                 ;39746;6fbcb5…9cf343
11-07-10:08:56.951;miner4;🔨 mined potential block                 ;39747;68f418…d99d24
11-07-10:09:16.784;miner2;🔨 mined potential block                 ;39748;835fc5…1be452
11-07-10:09:20.203;miner3;🔨 mined potential block                 ;39749;4e0e6c…312112
11-07-10:09:27.259;miner1;🔨 mined potential block                 ;39750;1248b8…8d73c9
11-07-10:09:27.691;miner3;🔨 mined potential block                 ;39751;4e5cd6…c7f42d
11-07-10:09:29.147;miner2;🔨 mined potential block                 ;39752;6f1f09…c16dbf
11-07-10:09:35.058;miner3;🔨 mined potential block                 ;39753;ad37d6…b2252e
11-07-10:09:40.482;miner1;🔨 mined potential block                 ;39754;b103f5…fdcc0a
11-07-10:09:50.505;miner4;🔨 mined potential block                 ;39755;31d1bc…799fa8
11-07-10:09:53.246;miner3;🔨 mined potential block                 ;39756;6208a9…aa5e3b
11-07-10:09:57.028;miner1;🔨 mined potential block                 ;39757;2131d1…7b2d86
11-07-10:10:06.401;miner1;🔨 mined potential block                 ;39758;8b94e3…b99fae
11-07-10:10:10.037;miner4;🔨 mined potential block                 ;39759;89bc8e…4151a7
11-07-10:10:12.572;miner4;🔨 mined potential block                 ;39760;8dbf68…bcf6bb
11-07-10:10:13.113;miner4;🔨 mined potential block                 ;39761;6edc0d…7e3d80
11-07-10:10:20.121;miner4;🔨 mined potential block                 ;39762;7d51f2…3836ab
11-07-10:10:20.402;miner2;🔨 mined potential block                 ;39763;0925aa…674040
11-07-10:10:28.884;miner3;🔨 mined potential block                 ;39764;dc9534…1fd310
11-07-10:10:36.286;miner2;🔨 mined potential block                 ;39765;317e51…7f6dab
11-07-10:10:49.067;miner1;🔨 mined potential block                 ;39766;c3f14b…f0558d
11-07-10:10:53.646;miner2;🔨 mined potential block                 ;39767;ba5774…bfab73
11-07-10:10:54.202;miner2;🔨 mined potential block                 ;39768;8fb029…1fdd81
11-07-10:11:18.892;miner2;🔨 mined potential block                 ;39769;874d98…eaaacd
11-07-10:11:20.043;miner2;🔨 mined potential block                 ;39770;9576fa…04dce3
11-07-10:11:42.008;miner1;🔨 mined potential block                 ;39771;f8eed8…1a40ac
11-07-10:11:44.818;miner3;🔨 mined potential block                 ;39772;ac9dfd…405e40
11-07-10:11:45.195;miner2;🔨 mined potential block                 ;39773;4b5e44…3d2ee4
11-07-10:11:55.939;miner4;🔨 mined potential block                 ;39774;04d7bc…71015d
11-07-10:12:03.146;miner4;🔨 mined potential block                 ;39775;132bad…f9ca6e
11-07-10:12:14.975;miner2;🔨 mined potential block                 ;39776;2c06a9…ad4a1f
11-07-10:12:21.816;miner1;🔨 mined potential block                 ;39777;95b7a3…6515ea
11-07-10:12:37.926;miner2;🔨 mined potential block                 ;39778;436d1b…b28f79
11-07-10:12:47.784;miner4;🔨 mined potential block                 ;39779;fde929…e75a44
11-07-10:12:51.474;miner1;🔨 mined potential block                 ;39780;3ef187…73d428
11-07-10:12:52.689;miner3;🔨 mined potential block                 ;39781;0dc86d…ce3cac
11-07-10:12:58.520;miner1;🔨 mined potential block                 ;39782;3bb508…8530d9
11-07-10:13:00.376;miner1;🔨 mined potential block                 ;39783;6c89cf…82f322
11-07-10:13:08.926;miner2;🔨 mined potential block                 ;39784;5fd764…f77add
11-07-10:13:14.229;miner4;🔨 mined potential block                 ;39785;a643d5…275b89
11-07-10:13:19.367;miner2;🔨 mined potential block                 ;39786;4a8f29…30faa8
11-07-10:13:20.287;miner2;🔨 mined potential block                 ;39787;b379de…49e309
11-07-10:13:24.280;miner1;🔨 mined potential block                 ;39788;37929c…493c1a
11-07-10:13:55.801;miner3;🔨 mined potential block                 ;39789;3f77e6…f76d91
11-07-10:14:07.270;miner3;🔨 mined potential block                 ;39790;a995e2…38f08a
11-07-10:14:20.149;miner4;🔨 mined potential block                 ;39791;1533a3…3cdc01
11-07-10:14:23.739;miner4;🔨 mined potential block                 ;39792;4a8e2d…1d7de4
11-07-10:14:33.190;miner2;🔨 mined potential block                 ;39793;902206…23bfff
11-07-10:14:37.675;miner2;🔨 mined potential block                 ;39794;eeaf5a…8694e7
11-07-10:14:53.922;miner3;🔨 mined potential block                 ;39795;e71005…cc5325
11-07-10:15:15.546;miner2;🔨 mined potential block                 ;39796;70295e…f84d81
11-07-10:15:17.433;miner4;🔨 mined potential block                 ;39797;c87846…00ac49
11-07-10:15:21.448;miner4;🔨 mined potential block                 ;39798;6c34df…f6449b
11-07-10:15:21.507;miner2;🔨 mined potential block                 ;39799;636281…217057
11-07-10:15:27.862;miner2;🔨 mined potential block                 ;39800;92e8c3…8d3a44
11-07-10:15:29.027;miner4;🔨 mined potential block                 ;39801;cb631c…00b3e2
11-07-10:15:43.395;miner4;🔨 mined potential block                 ;39802;fcf0a3…ceb213
11-07-10:15:52.065;miner1;🔨 mined potential block                 ;39803;aac7d1…89b769
11-07-10:16:03.948;miner4;🔨 mined potential block                 ;39804;dca0b6…417765
11-07-10:16:28.392;miner2;🔨 mined potential block                 ;39805;675479…a1862c
11-07-10:16:38.260;miner3;🔨 mined potential block                 ;39806;c0526b…9b8ddd
11-07-10:16:43.972;miner2;🔨 mined potential block                 ;39807;feaf66…674985
11-07-10:16:49.115;miner1;🔨 mined potential block                 ;39808;8f7dea…9daa0b
11-07-10:17:07.867;miner1;🔨 mined potential block                 ;39809;8c1a2d…af1fab
11-07-10:17:21.978;miner3;🔨 mined potential block                 ;39810;35cd11…409257
11-07-10:17:40.510;miner3;🔨 mined potential block                 ;39811;6f864b…425257
11-07-10:17:47.160;miner4;🔨 mined potential block                 ;39812;b45a68…1b35d7
11-07-10:17:48.203;miner2;🔨 mined potential block                 ;39813;e72384…6f65a2
11-07-10:18:05.502;miner2;🔨 mined potential block                 ;39814;ed2bbd…aef801
11-07-10:18:11.390;miner4;🔨 mined potential block                 ;39815;babee0…0b75ab
11-07-10:18:13.322;miner3;🔨 mined potential block                 ;39816;016385…889d65
11-07-10:18:17.276;miner4;🔨 mined potential block                 ;39817;f958f0…217083
11-07-10:18:32.805;miner3;🔨 mined potential block                 ;39818;9c1669…437530
11-07-10:18:43.576;miner1;🔨 mined potential block                 ;39819;988142…749adc
11-07-10:18:44.511;miner1;🔨 mined potential block                 ;39820;409d66…4ab7cb
11-07-10:18:58.643;miner3;🔨 mined potential block                 ;39821;3f965b…c83332
11-07-10:19:11.167;miner4;🔨 mined potential block                 ;39822;ebcd42…8e1469
11-07-10:19:13.551;miner3;🔨 mined potential block                 ;39823;e9e7ea…b6a292
11-07-10:19:22.706;miner4;🔨 mined potential block                 ;39824;8b7787…666d61
11-07-10:19:25.824;miner3;🔨 mined potential block                 ;39825;1764e8…f29f51
11-07-10:19:27.204;miner4;🔨 mined potential block                 ;39826;0add03…35ca6d
11-07-10:19:27.346;miner2;🔨 mined potential block                 ;39827;8e0bca…406d0b
11-07-10:19:36.254;miner3;🔨 mined potential block                 ;39828;f7e530…869e6f
11-07-10:19:38.817;miner4;🔨 mined potential block                 ;39829;df4e08…3e608e
11-07-10:19:44.498;miner2;🔨 mined potential block                 ;39830;9116ff…81475a
11-07-10:19:46.984;miner3;🔨 mined potential block                 ;39831;978e3a…5a149c
11-07-10:19:52.532;miner2;🔨 mined potential block                 ;39832;ceee8a…967d83
11-07-10:19:54.490;miner1;🔨 mined potential block                 ;39833;91b4eb…1e1aea
11-07-10:19:59.317;miner2;🔨 mined potential block                 ;39834;efccde…7d4766
11-07-10:20:11.049;miner3;🔨 mined potential block                 ;39835;089ef9…a25c53
11-07-10:20:15.009;miner2;🔨 mined potential block                 ;39836;5ec01e…f50187
11-07-10:20:24.482;miner3;🔨 mined potential block                 ;39837;e17737…cbc150
11-07-10:20:26.986;miner1;🔨 mined potential block                 ;39838;02c803…0ce44d
11-07-10:20:33.645;miner1;🔨 mined potential block                 ;39839;a80f5b…2895cb
11-07-10:20:37.082;miner3;🔨 mined potential block                 ;39840;8a3037…d4b62a
11-07-10:20:40.019;miner4;🔨 mined potential block                 ;39841;74752b…70c0c8
11-07-10:20:43.245;miner3;🔨 mined potential block                 ;39842;a6a48d…8907e8
11-07-10:20:45.645;miner2;🔨 mined potential block                 ;39843;7e6edc…55119f
11-07-10:20:48.744;miner2;🔨 mined potential block                 ;39844;9ba5d3…bc6531
11-07-10:20:49.774;miner1;🔨 mined potential block                 ;39845;97565c…4a59ce
11-07-10:20:54.734;miner2;🔨 mined potential block                 ;39846;100f83…038398
11-07-10:20:58.234;miner1;🔨 mined potential block                 ;39847;c7ba1c…fb36b4
11-07-10:21:01.277;miner3;🔨 mined potential block                 ;39848;d423d4…8ae5bb
11-07-10:21:04.407;miner4;🔨 mined potential block                 ;39849;f82d3d…3fe0b0
11-07-10:21:11.750;miner1;🔨 mined potential block                 ;39850;b6710c…7231c1
11-07-10:21:14.145;miner1;🔨 mined potential block                 ;39851;547558…5d3c22
11-07-10:21:17.260;miner1;🔨 mined potential block                 ;39852;6d28b4…2b275c
11-07-10:21:38.229;miner4;🔨 mined potential block                 ;39853;841020…c11d21
11-07-10:21:38.748;miner1;🔨 mined potential block                 ;39854;89ba54…61be32
11-07-10:21:52.988;miner1;🔨 mined potential block                 ;39855;15c02a…b407a6
11-07-10:22:04.551;miner4;🔨 mined potential block                 ;39856;e49511…adc8c0
11-07-10:22:06.428;miner1;🔨 mined potential block                 ;39857;1c6ff6…6d3bb7
11-07-10:22:09.125;miner1;🔨 mined potential block                 ;39858;9b7032…b023eb
11-07-10:22:17.016;miner3;🔨 mined potential block                 ;39859;ff8305…d5f5b8
11-07-10:22:23.398;miner1;🔨 mined potential block                 ;39860;7b9f69…9864c3
11-07-10:22:25.250;miner2;🔨 mined potential block                 ;39861;a35425…540c44
11-07-10:22:40.366;miner1;🔨 mined potential block                 ;39862;2713f2…cfe3c2
11-07-10:22:43.520;miner4;🔨 mined potential block                 ;39863;801d8b…b24b52
11-07-10:22:48.652;miner2;🔨 mined potential block                 ;39864;231501…8f12e4
11-07-10:23:10.703;miner3;🔨 mined potential block                 ;39865;0f99fb…e08149
11-07-10:23:25.387;miner2;🔨 mined potential block                 ;39866;e1b17b…81e604
11-07-10:23:29.206;miner1;🔨 mined potential block                 ;39867;bb5add…266b9b
11-07-10:23:34.012;miner2;🔨 mined potential block                 ;39868;4b1699…6d9a8b
11-07-10:23:40.425;miner2;🔨 mined potential block                 ;39869;8ef644…c0659f
11-07-10:23:48.799;miner2;🔨 mined potential block                 ;39870;29520e…201187
11-07-10:24:00.068;miner2;🔨 mined potential block                 ;39871;10ca76…478c13
11-07-10:24:00.795;miner1;🔨 mined potential block                 ;39872;4fa9a0…f7e138
11-07-10:24:01.253;miner1;🔨 mined potential block                 ;39873;df1872…d07f86
11-07-10:24:06.945;miner1;🔨 mined potential block                 ;39874;97e01d…e8f171
11-07-10:24:11.721;miner3;🔨 mined potential block                 ;39875;e7b3e3…52630c
11-07-10:24:17.342;miner1;🔨 mined potential block                 ;39876;74f2fd…417e1e
11-07-10:24:25.789;miner2;🔨 mined potential block                 ;39877;d0384d…ef0de6
11-07-10:24:40.430;miner2;🔨 mined potential block                 ;39878;392db8…6a0701
11-07-10:25:10.880;miner2;🔨 mined potential block                 ;39879;af0701…c1ddb4
11-07-10:25:30.874;miner3;🔨 mined potential block                 ;39880;43011c…4747ad
11-07-10:25:55.860;miner1;🔨 mined potential block                 ;39881;9ba3bd…a2a778
11-07-10:26:15.940;miner4;🔨 mined potential block                 ;39882;10dcde…e6689f
11-07-10:26:17.615;miner1;🔨 mined potential block                 ;39883;14e684…e3a747
11-07-10:26:25.652;miner2;🔨 mined potential block                 ;39884;d221e8…64230a
11-07-10:26:28.578;miner2;🔨 mined potential block                 ;39885;8e83ef…fcf501
11-07-10:26:30.055;miner3;🔨 mined potential block                 ;39886;cf0b10…9ee120
11-07-10:26:32.342;miner2;🔨 mined potential block                 ;39887;d29df1…60bf02
11-07-10:26:32.357;miner2;🔨 mined potential block                 ;39888;5f82b5…e6725c
11-07-10:26:39.082;miner3;🔨 mined potential block                 ;39889;e7aa38…bec171
11-07-10:26:43.805;miner2;🔨 mined potential block                 ;39890;b4fde3…46d57c
11-07-10:26:52.202;miner1;🔨 mined potential block                 ;39891;ddf195…ca308b
11-07-10:26:56.995;miner3;🔨 mined potential block                 ;39892;2ae5ce…b87812
11-07-10:27:07.170;miner2;🔨 mined potential block                 ;39893;accc39…5a2202
11-07-10:27:10.253;miner1;🔨 mined potential block                 ;39894;e4c2e3…ef989f
11-07-10:27:22.917;miner2;🔨 mined potential block                 ;39895;7061f1…293d01
11-07-10:27:25.077;miner3;🔨 mined potential block                 ;39896;744c31…cedfa5
11-07-10:27:29.440;miner2;🔨 mined potential block                 ;39897;de42b8…d0034a
11-07-10:27:31.201;miner2;🔨 mined potential block                 ;39898;e9506f…5340f5
11-07-10:27:38.292;miner3;🔨 mined potential block                 ;39899;9a18c9…1dd5e5
11-07-10:27:43.511;miner1;🔨 mined potential block                 ;39900;3f1561…e1de7f
11-07-10:27:46.654;miner3;🔨 mined potential block                 ;39901;bbf16d…45ffb6
11-07-10:28:20.082;miner4;🔨 mined potential block                 ;39902;13de7d…0f1c04
11-07-10:28:24.791;miner1;🔨 mined potential block                 ;39903;260175…8f79e2
11-07-10:28:29.602;miner3;🔨 mined potential block                 ;39904;7ec4a1…bce846
11-07-10:28:45.909;miner1;🔨 mined potential block                 ;39905;4143c9…19c21c
11-07-10:28:46.534;miner1;🔨 mined potential block                 ;39906;eb0249…079d49
11-07-10:28:53.522;miner1;🔨 mined potential block                 ;39907;bb498e…181f9f
11-07-10:28:59.593;miner4;🔨 mined potential block                 ;39908;9ee45e…1fa7c9
11-07-10:29:07.621;miner1;🔨 mined potential block                 ;39909;108ad0…ba9cfe
11-07-10:29:07.984;miner4;🔨 mined potential block                 ;39910;fa1e0f…9c946e
11-07-10:29:31.331;miner4;🔨 mined potential block                 ;39911;7f13a0…ac08c2
11-07-10:29:31.813;miner4;🔨 mined potential block                 ;39912;c7f155…21b480
11-07-10:29:32.659;miner4;🔨 mined potential block                 ;39913;41317c…26c311
11-07-10:29:40.007;miner1;🔨 mined potential block                 ;39914;c120ec…da102e
11-07-10:29:53.466;miner3;🔨 mined potential block                 ;39915;dd1c9c…3cd9e1
11-07-10:29:55.088;miner2;🔨 mined potential block                 ;39916;60379a…bd6228
11-07-10:30:03.995;miner2;🔨 mined potential block                 ;39917;895a2d…5ae50c
11-07-10:30:16.096;miner2;🔨 mined potential block                 ;39918;a17a57…b8a2dd
11-07-10:30:18.182;miner3;🔨 mined potential block                 ;39919;0fb5fd…eb47ba
11-07-10:30:28.908;miner2;🔨 mined potential block                 ;39920;053431…9d089f
11-07-10:30:32.959;miner2;🔨 mined potential block                 ;39921;d17d3a…56dd74
11-07-10:30:45.372;miner4;🔨 mined potential block                 ;39922;d44a21…5207b7
11-07-10:30:48.162;miner3;🔨 mined potential block                 ;39923;f0cdc7…7900fd
11-07-10:30:53.829;miner2;🔨 mined potential block                 ;39924;721bf6…ca33b2
11-07-10:30:54.229;miner4;🔨 mined potential block                 ;39925;c9239f…00bcc6
11-07-10:31:10.032;miner3;🔨 mined potential block                 ;39926;209438…0ded57
11-07-10:31:27.847;miner4;🔨 mined potential block                 ;39927;c9a130…58279f
11-07-10:31:36.860;miner1;🔨 mined potential block                 ;39928;545e33…f8443a
11-07-10:31:40.749;miner1;🔨 mined potential block                 ;39929;4dd129…6350fb
11-07-10:31:46.294;miner3;🔨 mined potential block                 ;39930;a57683…2001b4
11-07-10:32:00.522;miner4;🔨 mined potential block                 ;39931;171208…dad03e
11-07-10:32:10.271;miner4;🔨 mined potential block                 ;39932;4b2ea9…94b49e
11-07-10:32:12.981;miner1;🔨 mined potential block                 ;39933;bfe685…c9d566
11-07-10:32:25.239;miner3;🔨 mined potential block                 ;39934;9f1a53…6cb860
11-07-10:32:26.061;miner4;🔨 mined potential block                 ;39935;cca7b0…38526d
11-07-10:32:30.290;miner2;🔨 mined potential block                 ;39936;05e70b…42cd75
11-07-10:32:36.495;miner3;🔨 mined potential block                 ;39937;a43f67…158475
11-07-10:32:37.087;miner2;🔨 mined potential block                 ;39938;bacf0a…5b25a3
11-07-10:32:43.973;miner2;🔨 mined potential block                 ;39939;c9953f…cc2dae
11-07-10:32:47.029;miner3;🔨 mined potential block                 ;39940;a52aef…1ae3d3
11-07-10:32:57.956;miner4;🔨 mined potential block                 ;39941;5e0f65…37982d
11-07-10:32:58.804;miner4;🔨 mined potential block                 ;39942;f10249…cafa7d
11-07-10:32:59.453;miner3;🔨 mined potential block                 ;39943;b03188…9080b7
11-07-10:33:11.500;miner2;🔨 mined potential block                 ;39944;0d1b5f…bbaf9c
11-07-10:33:16.558;miner2;🔨 mined potential block                 ;39945;3da631…f4d83f
11-07-10:33:35.246;miner2;🔨 mined potential block                 ;39946;a9d498…f34c58
11-07-10:34:02.102;miner1;🔨 mined potential block                 ;39947;d3be24…82dc7f
11-07-10:34:17.376;miner1;🔨 mined potential block                 ;39948;62c1e6…4c27d2
11-07-10:34:25.863;miner4;🔨 mined potential block                 ;39949;0e298a…8d201b
11-07-10:34:28.089;miner4;🔨 mined potential block                 ;39950;c13a44…fe0267
11-07-10:34:28.583;miner3;🔨 mined potential block                 ;39951;a25e7f…6025d7
11-07-10:34:49.344;miner2;🔨 mined potential block                 ;39952;dc9b7a…e7f348
11-07-10:34:54.802;miner4;🔨 mined potential block                 ;39953;a54024…a6984e
11-07-10:34:56.894;miner3;🔨 mined potential block                 ;39954;46eba2…2bdabd
11-07-10:34:57.561;miner2;🔨 mined potential block                 ;39955;ce6591…65356a
